S.no,District,petrol_pumps,dhabas_hotels,workshops
24,Birbhum,Indian Oil Filling Station Lohapur Nalhati,Madhu Mamata Hotel Tarapith,Mahindra Service Center Chakpara
25,Birbhum,Indian Oil Filling Station Moholla Rail Gate,Laltu Hotel Munsuba Rampurhat,Baromesya Service Center Surichua Border
26,Birbhum,Tarafit Filling Station Tarapith Birbhum 9748730903,Hindu Hotel Nalhati,
27,Birbhum,COCO Rampurhat Indian Oil Corporation Ltd Vill Po Barshal Rampurhat Birbhum,Janata Hotel Murarai,
1,Purba Medinipur,Shree Krishna Filling Station NH116B Thakurnagar 9730957081,Punaji Dhaba Babalichak 8967792958,Biswakarma Auto Care Balisai Tamralip Cont 9002768000
2,Purba Medinipur,Kalinga Auto Service Station NH116B Kolaghat 9434008113,Hotel Highway Kasupara NH41 9933808864,Mahindra Star India Agencies Haldiya Purba Medinipur 9731253008
3,Purba Medinipur,Hera Fuel NH116B Durgapur 9472006735,Jony Hotel Near Nandakumar 8583961409,Prerna Motors Mahalia Tamralip Cont 9436563222
4,Purba Medinipur,Bhagwati Machine SKUS Fuel Pump NH116B Contai Bypass 9327629657,Sundry Restaurant Kasupara NH41 9732193097,Amanat Auto Care NH6 Radharam Purba Medinipur 9002368907
5,Purba Medinipur,Contai Fuel NH116B Contai Bypass 9731505944,Hotel Sunday Kasupara NH41 9738097765,Satyam Auto Electric Barahaiya Kolaghat Purba Medinipur
6,Purba Medinipur,Contai Oil Station NH116B Contai Central Bus Stand 9932741736,Royal Dhaba Babalichak 9732506572,Ramananda Body Garage Mahalia Purba Medinipur
7,Purba Medinipur,MS Debu Petrol Pump NH116B Contai 9432139785,Shree Radha Hotel Near Nandakumar Contai 9153357990,Manna Garage Kolaghat NH41 Purba Medinipur
8,Purba Medinipur,Prince Fuel Centre Digha Orissa Border 9733458000,Express Food Plaza NH41 Kolaghat Purba Medinipur 7407744462,Munir Rahaman Garage NH41 Ramnagar Tamralip Purba Medinipur 9002713455
9,Purba Medinipur,Civic House Nandakumar Contai 9434516500,Driver Inn Restaurant NH41 Kolaghat Purba Medinipur 8370951071,
10,Purba Medinipur,Maa Annapurna Automobile NH116B Nandakumar 9734386454,Shri Bishnu Hotel & Restaurant NH41 Panisra Purba Medinipur,
11,Purba Medinipur,New Tituman Hotel Contai Rupnarayan Bypass 8001754033,Satyamayan Restaurant Panisra Purba Medinipur,
12,Purba Medinipur,Sandhya Resort Contai Rupnarayan Bypass NH41,SN Hotel Panisra Purba Medinipur 9931508609,
13,Purba Medinipur,Manu Hotel Padmapukur Contai,Sandipa Hotel NH41 Kolaghat Purba Medinipur 9802833511,
14,Purba Medinipur,KEPS Restaurant Central Bus Stand Contai,DPUR Hotel NH41 Tamralip Purba Medinipur 9733603642,
15,Purba Medinipur,Nikita Restaurant Central Bus Stand Contai,Sathi Hotel NH41 Purba Medinipur Contai 7047272777,
16,Purba Medinipur,Haldia Traders Company NH41 Haldia Dock Purba Medinipur 9862477131,Shree Bengal Restaurant NH41 Kolaghat Purba Medinipur 9002196937,
17,Purba Medinipur,Indian Oil Petrol Pump Ramnagar Nandakumar Purba Medinipur 9434369085,Star India NH41 Ramnagar Purba Medinipur 9153503099,
18,Purba Medinipur,Maa Basantamma Filling Station Haldia Dock Purba Medinipur,Hotel Royal Landmark NH41 Kolaghat Purba Medinipur 9987930426,
19,Purba Medinipur,Satyamayan Service Station Kolaghat Purba Medinipur 0322825681,,
20,Purba Medinipur,Gitanjali Filling Station Nandakumar Dock Kolaghat Purba Medinipur 9474759297,,
21,Purba Medinipur,Bhowmik Krishi Seva Kendra Dhankhal Panchkura Tamralip Purba Medinipur 9083505858,,
22,Purba Medinipur,Tara Maa Fuel Station Mahisadal Haldia Road Purba Medinipur 9434386184,,
23,Purba Medinipur,Bharat Petroleum Petrol Pump Naupala Mecheda Tamralip Purba Medinipur 8672174121,,
24,Purba Medinipur,Emergency Fuel Station Ayapara Mecheda Purba Medinipur 8672134214,,
25,Purba Medinipur,Nandakumar IOC Petrol Pump Mahisadal Mecheda Purba Medinipur 9732427610,,
26,Purba Medinipur,Indian Oil Petrol Pump Near Mahisadal Tamralip Mecheda Purba Medinipur 7002157043,,
27,Purba Medinipur,Potara Filling Point Jagannathpur Mahisadal Purba Medinipur,,
28,Purba Medinipur,,,
29,Purba Medinipur,,,
1,Jhargram,"Guin Brothers, Lodhasuli, Jhargram, 721513, 8001200461","Dhaba (Shibu Mondal), Binpur, 9547698947","Nabo Garage, Old Jhargram, Opposite Ramkrishna Sarada Vidyapith, 721507, 9932378245"
2,Jhargram,"Golden Choice, NH-6, Barkala, Jugdiha, Jhargram, 9903403015","Golden Dhaba, Jamboni, 9002406500","Tinku Garage, Raghunathpur, Jhargram, 721507, 9932364211"
3,Jhargram,"Saren Petro Care Centre, Jamda, Jhargram, 721507, (03221)259880","751 No. Hotel, Jamboni, 9635541715","Sau Garage, Raghunathpur, Jhargram, 721507, 8972655657"
4,Jhargram,"Chandan Filling Station, Gojasimul, Jhargram, 721513, (03221)262220","Mama Hotel, Gojasimul, 9083577511","G. S. Automobiles, Central Bus Stand, Jhargram, 721507, 9932826382"
5,Jhargram,"HP Petrol Pump – Lodhasuli Point, Lodhasuli, Jhargram, 721513, 9434320036","Sriman Hotel, Balibhasa, 9434230957","Ignited Filling & Service Centre Pvt. Ltd., TATA Motors Authorized Service Centre for LCV, Old Jhargram, 721507, 8597174667"
6,Jhargram,"Khatua Filling Station, Baligeria, Kultikri, Sankrail, Jhargram, 9437038754","Garma Garam Dhaba, Gopiballavpur, 9002173771 / 9932541101","Bhandari Automobiles Pvt. Ltd., Maruti Authorized Service Centre, Raj Palace Road, Old Jhargram, 9933583519"
7,Jhargram,"Deb & Son's, Old Jhargram, Jhargram, 721507, 9800165510","New Ma Kali Hotel, Gojasimul, 9933925850","Gopal Pal Garage, Balibhasa, 9775501400"
8,Jhargram,"Ramavatar Brothers, Nutandihi, Jhargram, 721507, 9847719767","Kali Mistri (Tyre Repairing), Gojasimul, 8967736134",
9,Jhargram,"Purnima Filling Station, Kanimohuli, Silda, Jhargram, 9330095790",,"Chowdhury Garage, Binpur, 9734818011"
10,Jhargram,"Niharika Kishan Pariseva, Nayabasan, Gopiballavpur, Jhargram, 9679930779",,"Sk. Sakil Ali, Jamboni, 9002597479"
11,Jhargram,"Pramila Filling Station, Jamda, Jhargram, 721507, 9434691529",,"Ghosh Motor Repairing Centre, Gopiballavpur, 9932708391"
12,Jhargram,"Suraj Service Station, Balibhasa, Jhargram, 721513, 9434544167",,
1,Paschim Burdwan,H.P Petroleum Pump (4 Point) Pother Sathi Service Station (Salanpur) Mob-9732153367,Maa Anjali Hotel (Sudli More),Devi Maa Auto Service Centre (Siduli More) Mob-91537407
2,Paschim Burdwan,Balia Pancham Auto Services (Bharat Petroleum) Mob-7063435251,Arapandip Hotel (NH-2 Siduli More) Mob-9002266058,"Maruti Suzuki Service Station (4 Point L.K Motor) Mob-8436001827, 9091392314"
3,Paschim Burdwan,Westren Motor H.P Petrol Pump (Jubli More),Hotel Pet Puja (Rampur),M.J Movers (4 Point) Mob-91639519
4,Paschim Burdwan,Energy Fuel Station (Indian Oil) Mob-8001174742,Maa Annapurna Hotel (Rampur) Mob-9153822917,Shibnath Auto Services (Kalla More) Mob-9832206689
5,Paschim Burdwan,Damodar Auto (Ningha More) Mob-9475839993,Goldi Dhaba (Jubli More) Mob-8391071827,Sri Ram Motor (Asansol)
6,Paschim Burdwan,Probet Patrol Pump (Punjabi More) Mob-9434008328,Laxmi Dhaba (Baki Danga) Mob-9382577538,"Moti Auto Repairing Shop, Faridpur, Durgapur Mob-9647631096"
7,Paschim Burdwan,Jublee Petrol Pump (Jublee More) Mob-7781882128,Roti Dhaba (Baki Danga),"Nasim Auto Repairing Shop, Faridpur, Durgapur Mob-9593664510"
8,Paschim Burdwan,Pathsaria Petrol Pump (NH-2 Satgram) Mob-9832210523,Shibam Hotel (Baki Danga),"Munna Auto Repairing Centre, Kajora More, Andal Mob-9563786746"
9,Paschim Burdwan,"M.T Automobile Pump, Gandhi More, Durgapur (0343-2545411)",Jalwal Dhaba (Baki Danga) Mob-9547730604,"Friends Automart, NH-1 More, G.T Road, Muchipara, Durgapur Mob-8617367491"
10,Paschim Burdwan,"Saikat Automobile Pump, Near Andal Airport, Gopalmath Mob-9434750244",Hotel Utsav Inn (NH-2 DVC More) Mob-9434389317,
11,Paschim Burdwan,"Harekrishna Petrol Pump, I.O.C Andal Mob-8250359576",Palwan Hotel (J K Nagar) Mob-9547842235,
12,Paschim Burdwan,"Raja Petrol Pump, Gandhi More, Durgapur Mob-9434238057","Mistru Restaurant, Gopalmath, Durgapur Mob-8373078229",
13,Paschim Burdwan,"Sree Hari Petrol Pump, Indo American More, Durgapur Mob-9382232190","Maa Laxmi Yadav Hotel, Kajora More, Andal Mob-9332329311, 8514019231",
14,Paschim Burdwan,"Gorai Fuel Centre, Banskopa More near Toll Plaza Mob-6294288165","Sonu Pahari (Dadu) Hotel, ABL More, Durgapur Mob-8637508934",
15,Paschim Burdwan,"M.T Automobile Pump, Coke Oven, Gandhi More, Durgapur (0343-2545411)",Samthol Bishnoi Hotel,
16,Paschim Burdwan,"Saikat Automobile Pump (HP), Near Andal Airport, Gopalmath Mob-9434750244","Rajasthan Hotel, Rajbandh, Durgapur Mob-6394197264",
17,Paschim Burdwan,"Harekrishna Petrol Pump (IOC), Andal Mob-8250359576","K.K Punjabi Dhaba, Kotu More, Panagarh Mob-9002714200",
18,Paschim Burdwan,"Sree Hari Pump, Indo American More Mob-9382232190",Mistra Restaurant Mob-8373078229,"Tyre Repairing Shop, Gandhi More Mob-8609292249"
19,Paschim Burdwan,"Gorai Fuel Centre near Toll Tax, Banskopa Mob-6294288165","Maa Laxmi Yadav Hotel, Kajora Mob-9332329311, 8514019231","Nasim Auto Repairing, Faridpur Mob-9593664510"
20,Paschim Burdwan,"R.K Pump, Darjeeling More Mob-8609811038","Sonu Pahari Hotel, Indo American More Mob-8637508934","Moti Auto Repairing, Faridpur Mob-9647631096"
21,Paschim Burdwan,"Raja Petrol Pump, Gandhi More Mob-9434238057",Samthal Bishnoi Hotel (Rajasthan Hotel) Rajbandh Mob-6394197264,"Tanu Automobiles, Faridpur Mob-9434132702"
22,Paschim Burdwan,"AMPM Pump, Domra near 4th Mile Mob-9434010551","K.K Punjabi Dhaba, Kotu More (Panagarh) Mob-9002714200","Munna Auto Repairing, Kajora Mob-9563786746"
23,Paschim Burdwan,"Balaji Pump, Domra near 4th Mile Mob-7903637030","Ghosh Dhaba, Trilokchandrapur near Guha Service Station (Indian Oil Pump) Mob-9933421104",
24,Paschim Burdwan,"Guha Pump, Trilokchandrapur Mob-9433201363","Raja Dhaba, Piyariganj, Panagarh Morgram Highway Mob-8348369832",
25,Paschim Burdwan,,"Sundaram Dhaba, Dangal Panagarh State Highway Mob-7718287487",
26,Paschim Burdwan,,"Hotel Paramita, Dangal Basudha Panagarh State Highway",
1,Darjeeling,"Maheswari Auto Service, Lebong Cart Rd, 2253239","Kurseong Tourist Lodge, 03542345608","Rangeet Auto Service, HC Rd, 9832068361"
2,Darjeeling,"Ganeshilal & Sons, Lochnagar Rd, 9932039582","Santa Banta Dhaba, Batasia Loop, West Point, 9593300477","Beekay Auto Service, HC Rd, 03532777263"
3,Darjeeling,"Sailung Auto Service, 13/A Hill Cart Rd, Batasia, Ghum, 9832041130","Shimla Restaurant, Goenka Rd, 9233827030",
4,Darjeeling,"RN Agarwal & Sons, HC Rd, Dali, 9434048886","Glenarys Restaurant, Nehru Rd, 9234517819",
5,Darjeeling,"NC Prem Kumar & Sons, 799 HC Rd, 9434060183",,
6,Darjeeling,"Goenka Petrol Pump, Goenka Rd, 9593979992",,
7,Darjeeling,"Plain View Auto Service, HC Rd, Kurseong, 9832338137",,
8,Darjeeling,"Shaktidevi Enterprise, Pulbazar, Bijanbari, 983254497",,
9,Darjeeling,"Mahalui Auto Service, Mirik, 9641428664",,
10,Darjeeling,"Hill View Auto Service, HC Rd, Sonada, 9434048886",,
11,Darjeeling,"COCO Matigara (Indian Oil), 03532571591","Jaiswal Line Hotel, Matigara, 8250215138","Akram Automobiles, Matigara, 7908432425"
12,Darjeeling,"Aradhya Service Station (Bharat Petroleum), Matigara, 8918123225","Nitai Hotel & Restaurant, Goshpukur","Gupta Motors, Khaprail, 9832479215"
13,Darjeeling,"Fuel Center (Indian Oil), Matigara, 7432079019 / 9434889827","Gourango Shil, Goshpukur Main Road, Moilani Jote, 8945972827","Mandal Garage, Matigara, 9832536574"
14,Darjeeling,"Pioneer Auto Service (Indian Oil), Upper Bagdogra, 7699004044","Modak Hotel, Goshpukur Main Road, 9434377569","Swapan & Sagar Garage, Naxalbari, 7031369061"
15,Darjeeling,"Bagdogra Auto Supply, Upper Bagdogra, 7001155219","Babu Hotel, Goshpukur Main Road, 9775819592","Birbal Garage, Bidhan Nagar, 9002893264"
16,Darjeeling,"Naxalbari Service Station (24x7), Naxalbari, 03532488130","Jagadamba Line Hotel, Goshpukur Main Road","Maa Kali Garage, Bidhan Nagar, 8250312981"
17,Darjeeling,"Ma Durga Fuel Service, Goshpukur, 9932003163","Ekka Hotel, Goshpukur Main Road, 9932214281","Amar Garage, Eastern Bypass Dabgram, Sahudangi, 9434222584"
18,Darjeeling,"Maa Parbati Fuels, Goshpukur Main Road, 9002582488","Guruji Dhaba, Goshpukur Main Road (Near Toll), 9851687699","Sona Wheels Pvt Ltd, Sevoke Road, Near Vega Mall, 7067321611"
19,Darjeeling,"Bidhan's Petrol Pump, Bidhan Nagar, 9851502596","825, Bidhan Nagar, 9800387889","Sevoke Motors, Sevoke Road, 8929268615"
20,Darjeeling,"Kamal Enterprise (Reliance), Bidhan Nagar, 99711877791 / 9832055678","Baldev Hotel, Bidhan Nagar, 9064572053","Beekay Auto, Matigara, 8929268011"
21,Darjeeling,"Pine Farm Service Station, Bidhan Nagar, 9434046997","Sri Ramkrishna Line Hotel, Fulbari, 9933878705","OSL Automotive Pvt Ltd, Sevoke Road, 9800003400"
22,Darjeeling,"Prakash Service Station, Bidhan Nagar, 9233423515",,"Khokon Motor Works Pvt Ltd, Matigara, 7407245959 / 7407091500"
23,Darjeeling,"Bidhan Service Station, Jagannathpur Bidhan Nagar, 8942818943",,"Allied Autowheels Siliguri Pvt Ltd, 2nd Mile Sevoke Road, 7797488831"
24,Darjeeling,"Fillco Pump, Bidhan Nagar, 9434874970",,"Topsel Toyota, Matigara, 03532571107"
25,Darjeeling,"Siddhi Vinayak, Bidhan Nagar, 9932923924",,"Lexican Motors, Matigara, 9830802612"
26,Darjeeling,"Ram Fueling, Eastern Bypass Dabgram, Sahudangi, 9434222584",,"Koushal Hyundai, Matigara, 8170081708"
27,Darjeeling,"Roy Kisan Seva Kendra, Eastern Bypass Dabgram, 9679278556",,"Berlia Hyundai, Sevoke Road, 9093021000"
28,Darjeeling,"Siliguri Service Center (BP), Tinbatti More, 9434057991",,"Shree Force, Darjeeling More (Near Siliguri Gate), 9593941333"
29,Darjeeling,"More Service Center (HP), Tinbatti More, 9434021122",,"Topsel Trucking, Fulbari, 9735913205"
30,Darjeeling,"Kawakhali Fuel Center, Near Medical College, 9434839042",,"Gateway Ford Pvt Ltd, Gosaipur, 03536552686"
31,Darjeeling,"M/S Swastik Fuel, Ranidanga, 9007206519",,"Impression Honda, 3rd Mile Sevoke Road, 8657588904"
32,Darjeeling,"Phasidewa Filling Station (Essar Oil), Phasidewa, 9800644997",,
33,Darjeeling,"Tirupati Service Station, Gosaipur (Near Ford Showroom), 03532551652",,
34,Darjeeling,"Terai Fuels, Medical More, Kadamtala, 9434049406",,
35,Darjeeling,"Ganapati Square Fuel Center, Khaprail More, Patharghata, 9733078399",,
36,Darjeeling,"Hill View Fuels, Sukna, 943401513",,
37,Darjeeling,"Free Kick Venture Pvt Ltd, Champasari, 9681054799",,
38,Darjeeling,"Sarda Auto Care, Mallaguri, 9800258888",,
39,Darjeeling,"Joy Service Station, 3 Mile Sevoke Road, 9832095981 / 9064885477",,
40,Darjeeling,"Sona Petrol Pump, Salugara, 03532590841 / 9474390332",,
41,Darjeeling,"Sagar Service Station, Near PCM Bus Stand, 9434308057 / 03532542664",,
42,Darjeeling,"Five Star Service Station, Hill Cart Road, 9434047942",,
43,Darjeeling,"Fulbari Petrol Pump, Fulbari, 9832300906",,
1,S24,Reliance Pump at Khariberia,DEBUR HOTEL Sultanpur Diamond Harbour Ph 9933002030,BHANDARY WORKSHOP Sultanpur Diamond Harbour Ph 9073384910
2,S24,Reliance Pump at Razarhat,LOKNATH HINDU HOTEL New Madhabpur Nagendrabazar Diamond Harbour Ph 9434026064 / 9563957817,Hira Auto Centre Lalpool Diamond Harbour Ph 9434566357
3,S24,HP Pump at USTHI,GHARANA HOTEL Down Town Diamond Harbour Ph 8972191516,Jharna Tyre and Service 76 Bus Stand Diamond Harbour Ph 9474155820
4,S24,HP Pump at Dostipur,Mahamaya Hotel & Restaurant near bus stand Kakdwip West Bengal 743347 Ph 9043950288,Bimala Engineering Workshop Machine workshop Kakdwip West Bengal
5,S24,HP Pump at DH(BATA),Hotel Shivam Food Court Kakdwip West Bengal 743347 Ph 9126369426,Radhagovinda Engineering Workshop Kakdwip West Bengal
6,S24,HP Pump at Kulpi,Hotel Boishaki Bus Stand Kakdwip SD 19 743347 Ph 9932683344,HABIB SERVICE CENTRE Castrol Bikepoint Kakdweep Rath Tola Samsan Ghat Kakdwip West Bengal 743347 Ph 09932634092
7,S24,HP Pump at Natuna Rasta,,Shah Honda Ashirvad Rathtala Kakdwip 24 Parganas South West Bengal 743347 Ph 07872854046
8,S24,Reliance pump at Lot 8,,Bipul Garage Kamalganj South 24 Parganas 700103 Ph 9830413750
9,S24,HP Pump at Kakdeep (Near SBI),,Milan/Subhas Khasmallick Baruipur South 24 Parganas Ph 8981430655 / 7003555217
10,S24,HP/IOC/Reliance at Namkhana,,Manna Workshop TATA Prop Dhiman Manna Baruipur South 24 Parganas Ph 8584068296 / 7595055704
11,S24,HP Pump at Kachuberia Ashrammore,,Pailan Body Builders Pailan South 24 Parganas Ph 9748104438
12,S24,Petrol Pump near Rundranagar BDO,,
13,S24,IOC Pump at Kalinagar,M/S Bishnu Oil 147 Diamond Harbour Rd Diamond Harbour Ph 9748409182 / 9749756227,
14,S24,Bata Pump Diamond Harbour Ph 8159948117,,
15,S24,HP Pump Roychak Diamond Harbour Ph 9433209314,,
16,S24,HP Pump Gangaramur Bishnupur Diamond Harbour Ph 9830116364,,
17,S24,HP Petrol Pump Kakdwip West Bengal Ph 09732545854,,
18,S24,,,
19,S24,GHOSH SERVICE CENTER Indian Oil Kakdwip West Bengal Ph 09531581967,,
20,S24,Swami Vivekananda Grampanchayet Petrol Pump Kakdwip West Bengal,,
21,S24,PFT MOBILE POINTE Petrol Pump Kakdwip West Bengal,,
22,S24,Sumon Petrol Pump Akshyanagar West Bengal,,
23,S24,KAKDWIP OIL CENTRE (IOC) Petrol Pump Kakdwip West Bengal,,
24,S24,Reliance Pump Kalinagar West Bengal,,
25,S24,JASH SERVICE STATION Akshyanagar West Bengal,,
26,S24,Indian Oil Gas Station Petrol Pump Kasinagar West Bengal,,
27,S24,HP Petrol Pump Kolkata West Bengal Ph 09339905600,,
28,S24,Baruipur Oil Station Ukilpara Rd Railgate Baruipur Ph 789082733,,
29,S24,Saha Pump Near 218 Bus Stand Baruipur South 24 Parganas Ph 9903000124,,
30,S24,Sundarban Service Station Canning South 24 Parganas Ph 9434500527,,
31,S24,Bharat Petrol Pump Canning Basanti Rd Kathalberia South 24 Parganas 743329 Ph 9732520105,,
32,S24,Tridev Service Station Pailan South 24 Parganas Ph 8240388651 / 9433014831,,
33,S24,K C Paul Service Station Budge Budge South 24 Parganas Ph 9681244927,,
34,S24,Auto Car Service Station Budge Budge South 24 Parganas Ph 9831849070 / 9874141746,,
35,S24,Budge Budge Service Station Budge Budge South 24 Parganas Ph 9143297448,,
36,S24,Radha Rani Petrol Pump Budge Budge South 24 Parganas Ph 9674136792,,
37,S24,Om Auto Petrol Pump Budge Budge South 24 Parganas Ph 8336927945,,
38,S24,P M Enterprise Budge Budge South 24 Parganas Ph 9051095159,,
39,S24,Suparna Filling Station Maheshtala South 24 Parganas Ph 9433034907,,
40,S24,Tarun Service Station Amtala South 24 Parganas Ph 9830292308,,
41,S24,Rintu Service Station Amtala South 24 Parganas Ph 9437126613,,
42,S24,Sampark Pump Amtala South 24 Parganas Ph 9330330530,,
43,S24,Khariberia Reliance Pump Khariberia Amtala South 24 Parganas Ph 9525403235,,
44,S24,Rahul Service Station Khariberia Amtala South 24 Parganas Ph 9748465651,,
1,Jalpaiguri,"Fulbari Petrol Pump, Fulbari, 9832300906","Jwala Hotel, Telipara","Nanu Garage, LRP More"
2,Jalpaiguri,"Roy & Cousin, NH17 Near Mal Fire Station, 03562255074","Taleb Hotel, Vemtia","Subanna Garage, Dhupguri"
3,Jalpaiguri,"Jalpaiguri Service Station, Patkata, 9733022000","Pankha Hotel, Jhajangi","Sankar Garage, Jhajangi"
4,Jalpaiguri,"Sarkar Service, DVC Rd, 9434004911","BBS Dhaba, Gosala More","Champu Garage, Balapara"
5,Jalpaiguri,"Jay Maa Di Service, Jalpaiguri Highway, 9817600492","Kallan Dhaba, Sariam","Sarkar Automobile, Kortowa"
6,Jalpaiguri,"Nandi Automobiles, Haldibari More, 9475896024","Lama Hotel, Oldabari","Santosh Garage, near Army Camp"
7,Jalpaiguri,,Pathasathi at Lataguri,"Dulal Garage, Nagrakata High Rd"
8,Jalpaiguri,,Pathasathi at Chalsa,"Jalpaiguri Recovery Van Service, Jalpaiguri Highway, 9734962816"
9,Jalpaiguri,,"Hotel Swagat, Line Hotel More","Santos Garage, Maynaguri Bypass, 9434491474"
10,Jalpaiguri,,"Kali Dhaba, Paharpur, 7001028658",
11,Jalpaiguri,,"Soho Hotel, Maynaguri Bypass",
12,Jalpaiguri,,"Sainik Dhaba, Dhupguri, 9735956920",
13,Jalpaiguri,,"Highway Dhaba, Dhupguri",
1,Paschim Medinipur,Nundy Brothers Chandrakona Rd 9635608944,Sikandar Singh NH6 9002521919,Bhandari Auto Kharagpur NH6 9800041944
2,Paschim Medinipur,Ideal Filling Station Battala Chok 0322265783,Sukhinder Singh 9434320191,Paraj Motors 7479044766
3,Paschim Medinipur,Ayantika Oil Daspur 9434243372,,Bhandari Auto Kharagpur NH6 9732549889
4,Paschim Medinipur,Indra Automobile Indra Kharagpur 03222225743,,Madan Body Garage NH6 9932049503
5,Paschim Medinipur,Swadeshi Highway Centre Jakpur 9604919873,,Ghanna Body Garage NH6 9332973434
6,Paschim Medinipur,Mahamaya Fuel Station Bhadutala 9474027816,,
7,Paschim Medinipur,Ashoka Service Station Salboni 03227285221,,
8,Paschim Medinipur,Parul Service Station Hosnabad 9932741736,,
9,Paschim Medinipur,Deshbandhu Service Station Indra Kharagpur 03222225632,,
10,Paschim Medinipur,Belda Filling Station 9434105020,,
11,Paschim Medinipur,National Highway Filling Station 9434320094,,
1,Purba Medinipur,Shree Krishna Filling Station NH116B Thakurnagar 9730957081,Punaji Dhaba Babalichak 8967792958,Biswakarma Auto Care Balisai Tamralip Cont 9002768000
2,Purba Medinipur,Kalinga Auto Service Station NH116B Kolaghat 9434008113,Hotel Highway Kasupara NH41 9933808864,Mahindra Star India Agencies Haldiya Purba Medinipur 9731253008
3,Purba Medinipur,Hera Fuel NH116B Durgapur 9472006735,Jony Hotel Near Nandakumar 8583961409,Prerna Motors Mahalia Tamralip Cont 9436563222
4,Purba Medinipur,Bhagwati Machine SKUS Fuel Pump NH116B Contai Bypass 9327629657,Sundry Restaurant Kasupara NH41 9732193097,Amanat Auto Care NH6 Radharam Purba Medinipur 9002368907
5,Purba Medinipur,Contai Fuel NH116B Contai Bypass 9731505944,Hotel Sunday Kasupara NH41 9738097765,Satyam Auto Electric Barahaiya Kolaghat Purba Medinipur
6,Purba Medinipur,Contai Oil Station NH116B Contai Central Bus Stand 9932741736,Royal Dhaba Babalichak 9732506572,Ramananda Body Garage Mahalia Purba Medinipur
7,Purba Medinipur,MS Debu Petrol Pump NH116B Contai 9432139785,Shree Radha Hotel Near Nandakumar Contai 9153357990,Manna Garage Kolaghat NH41 Purba Medinipur
8,Purba Medinipur,Prince Fuel Centre Digha Orissa Border 9733458000,Express Food Plaza NH41 Kolaghat Purba Medinipur 7407744462,Munir Rahaman Garage NH41 Ramnagar Tamralip Purba Medinipur 9002713455
9,Purba Medinipur,Civic House Nandakumar Contai 9434516500,Driver Inn Restaurant NH41 Kolaghat Purba Medinipur 8370951071,
10,Purba Medinipur,Maa Annapurna Automobile NH116B Nandakumar 9734386454,Shri Bishnu Hotel & Restaurant NH41 Panisra Purba Medinipur,
11,Purba Medinipur,New Tituman Hotel Contai Rupnarayan Bypass 8001754033,Satyamayan Restaurant Panisra Purba Medinipur,
12,Purba Medinipur,Sandhya Resort Contai Rupnarayan Bypass NH41,SN Hotel Panisra Purba Medinipur 9931508609,
13,Purba Medinipur,Manu Hotel Padmapukur Contai,Sandipa Hotel NH41 Kolaghat Purba Medinipur 9802833511,
14,Purba Medinipur,KEPS Restaurant Central Bus Stand Contai,DPUR Hotel NH41 Tamralip Purba Medinipur 9733603642,
15,Purba Medinipur,Nikita Restaurant Central Bus Stand Contai,Sathi Hotel NH41 Purba Medinipur Contai 7047272777,
16,Purba Medinipur,Haldia Traders Company NH41 Haldia Dock Purba Medinipur 9862477131,Shree Bengal Restaurant NH41 Kolaghat Purba Medinipur 9002196937,
17,Purba Medinipur,Indian Oil Petrol Pump Ramnagar Nandakumar Purba Medinipur 9434369085,Star India NH41 Ramnagar Purba Medinipur 9153503099,
18,Purba Medinipur,Maa Basantamma Filling Station Haldia Dock Purba Medinipur,Hotel Royal Landmark NH41 Kolaghat Purba Medinipur 9987930426,
19,Purba Medinipur,Satyamayan Service Station Kolaghat Purba Medinipur 0322825681,,
20,Purba Medinipur,Gitanjali Filling Station Nandakumar Dock Kolaghat Purba Medinipur 9474759297,,
21,Purba Medinipur,Bhowmik Krishi Seva Kendra Dhankhal Panchkura Tamralip Purba Medinipur 9083505858,,
22,Purba Medinipur,Tara Maa Fuel Station Mahisadal Haldia Road Purba Medinipur 9434386184,,
23,Purba Medinipur,Bharat Petroleum Petrol Pump Naupala Mecheda Tamralip Purba Medinipur 8672174121,,
24,Purba Medinipur,Emergency Fuel Station Ayapara Mecheda Purba Medinipur 8672134214,,
25,Purba Medinipur,Nandakumar IOC Petrol Pump Mahisadal Mecheda Purba Medinipur 9732427610,,
26,Purba Medinipur,Indian Oil Petrol Pump Near Mahisadal Tamralip Mecheda Purba Medinipur 7002157043,,
27,Purba Medinipur,Potara Filling Point Jagannathpur Mahisadal Purba Medinipur,,
28,Purba Medinipur,,,
29,Purba Medinipur,,,
1,Kalimpong,"Ratiram Banshilal Petrol Pump, 10th mile, Kalimpong, Ph-no 9832047800","Hotel Priyanka, Gayel Kholan, NH-10, Kalimpong, Ph-no 8116592937","Mani Garage, Rely road, Kalimpong, Ph-no 7679350707 (Tika ram)"
2,Kalimpong,"Tashi Service Station, 8th mile, Kalimpong, Ph-no 9434106749","Hotel Maha Magg, Lohapul, NH-10, Kalimpong, Ph-no 9932343710","Mukul Garage, Testa Bazar, NH-10, Kalimpong, Ph-no 9800487893"
3,Kalimpong,"Biswa Kiran Fuel Pump, 6th mile, Kalimpong, Ph-no 7029027467","Hotel Rajendra Gurung, Tarkhola, NH-10, Kalimpong, Ph-no 7318723799","Yogesh Fitter, 4th mile, Kalimpong, Ph-no 6294384586"
