Sr No.,District,Service
768,Paschim Medinipur,Nundy Brothers Chandrakona Rd 9635608944
769,Paschim Medinipur,Sikandar Singh NH6 9002521919
770,Paschim Medinipur,Bhandari Auto Kharagpur NH6 9800041944
771,Paschim Medinipur,Ideal Filling Station Battala Chok 0322265783
772,Paschim Medinipur,Sukhinder Singh 9434320191
773,Paschim Medinipur,Paraj Motors 7479044766
774,Paschim Medinipur,Ayantika Oil Daspur 9434243372
775,Paschim Medinipur,Bhandari Auto Kharagpur NH6 9732549889
776,Paschim Medinipur,Indra Automobile Indra Kharagpur 03222225743
777,Paschim Medinipur,Madan Body Garage NH6 9932049503
778,Paschim Medinipur,Swadeshi Highway Centre Jakpur 9604919873
779,Paschim Medinipur,Ghanna Body Garage NH6 9332973434
780,Paschim Medinipur,Mahamaya Fuel Station Bhadutala 9474027816
781,Paschim Medinipur,Ashoka Service Station Salboni 03227285221
782,Paschim Medinipur,Parul Service Station Hosnabad 9932741736
783,Paschim Medinipur,Deshbandhu Service Station Indra Kharagpur 03222225632
784,Paschim Medinipur,Belda Filling Station 9434105020
785,Paschim Medinipur,National Highway Filling Station 9434320094
786,Purba Medinipur,Shree Krishna Filling Station NH116B Thakurnagar 9730957081
787,Purba Medinipur,Punaji Dhaba Babalichak 8967792958
788,Purba Medinipur,Biswakarma Auto Care Balisai Tamralip Cont 9002768000
789,Purba Medinipur,Kalinga Auto Service Station NH116B Kolaghat 9434008113
790,Purba Medinipur,Hotel Highway Kasupara NH41 9933808864
791,Purba Medinipur,Mahindra Star India Agencies Haldiya Purba Medinipur 9731253008
792,Purba Medinipur,Hera Fuel NH116B Durgapur 9472006735
793,Purba Medinipur,Jony Hotel Near Nandakumar 8583961409
794,Purba Medinipur,Prerna Motors Mahalia Tamralip Cont 9436563222
795,Purba Medinipur,Bhagwati Machine SKUS Fuel Pump NH116B Contai Bypass 9327629657
796,Purba Medinipur,Sundry Restaurant Kasupara NH41 9732193097
797,Purba Medinipur,Amanat Auto Care NH6 Radharam Purba Medinipur 9002368907
798,Purba Medinipur,Contai Fuel NH116B Contai Bypass 9731505944
799,Purba Medinipur,Hotel Sunday Kasupara NH41 9738097765
800,Purba Medinipur,Satyam Auto Electric Barahaiya Kolaghat Purba Medinipur
801,Purba Medinipur,Contai Oil Station NH116B Contai Central Bus Stand 9932741736
802,Purba Medinipur,Royal Dhaba Babalichak 9732506572
803,Purba Medinipur,Ramananda Body Garage Mahalia Purba Medinipur
804,Purba Medinipur,MS Debu Petrol Pump NH116B Contai 9432139785
805,Purba Medinipur,Shree Radha Hotel Near Nandakumar Contai 9153357990
806,Purba Medinipur,Manna Garage Kolaghat NH41 Purba Medinipur
807,Purba Medinipur,Prince Fuel Centre Digha Orissa Border 9733458000
808,Purba Medinipur,Express Food Plaza NH41 Kolaghat Purba Medinipur 7407744462
809,Purba Medinipur,Munir Rahaman Garage NH41 Ramnagar Tamralip Purba Medinipur 9002713455
810,Purba Medinipur,Civic House Nandakumar Contai 9434516500
811,Purba Medinipur,Driver Inn Restaurant NH41 Kolaghat Purba Medinipur 8370951071
812,Purba Medinipur,Maa Annapurna Automobile NH116B Nandakumar 9734386454
813,Purba Medinipur,Shri Bishnu Hotel & Restaurant NH41 Panisra Purba Medinipur
814,Purba Medinipur,New Tituman Hotel Contai Rupnarayan Bypass 8001754033
815,Purba Medinipur,Satyamayan Restaurant Panisra Purba Medinipur
816,Purba Medinipur,Sandhya Resort Contai Rupnarayan Bypass NH41
817,Purba Medinipur,SN Hotel Panisra Purba Medinipur 9931508609
818,Purba Medinipur,Manu Hotel Padmapukur Contai
819,Purba Medinipur,Sandipa Hotel NH41 Kolaghat Purba Medinipur 9802833511
820,Purba Medinipur,KEPS Restaurant Central Bus Stand Contai
821,Purba Medinipur,DPUR Hotel NH41 Tamralip Purba Medinipur 9733603642
822,Purba Medinipur,Nikita Restaurant Central Bus Stand Contai
823,Purba Medinipur,Sathi Hotel NH41 Purba Medinipur Contai 7047272777
824,Purba Medinipur,Haldia Traders Company NH41 Haldia Dock Purba Medinipur 9862477131
825,Purba Medinipur,Shree Bengal Restaurant NH41 Kolaghat Purba Medinipur 9002196937
826,Purba Medinipur,Indian Oil Petrol Pump Ramnagar Nandakumar Purba Medinipur 9434369085
827,Purba Medinipur,Star India NH41 Ramnagar Purba Medinipur 9153503099
828,Purba Medinipur,Maa Basantamma Filling Station Haldia Dock Purba Medinipur
829,Purba Medinipur,Hotel Royal Landmark NH41 Kolaghat Purba Medinipur 9987930426
830,Purba Medinipur,Satyamayan Service Station Kolaghat Purba Medinipur 0322825681
831,Purba Medinipur,Gitanjali Filling Station Nandakumar Dock Kolaghat Purba Medinipur 9474759297
832,Purba Medinipur,Bhowmik Krishi Seva Kendra Dhankhal Panchkura Tamralip Purba Medinipur 9083505858
833,Purba Medinipur,Tara Maa Fuel Station Mahisadal Haldia Road Purba Medinipur 9434386184
834,Purba Medinipur,Bharat Petroleum Petrol Pump Naupala Mecheda Tamralip Purba Medinipur 8672174121
835,Purba Medinipur,Emergency Fuel Station Ayapara Mecheda Purba Medinipur 8672134214
836,Purba Medinipur,Nandakumar IOC Petrol Pump Mahisadal Mecheda Purba Medinipur 9732427610
837,Purba Medinipur,Indian Oil Petrol Pump Near Mahisadal Tamralip Mecheda Purba Medinipur 7002157043
838,Purba Medinipur,Potara Filling Point Jagannathpur Mahisadal Purba Medinipur
839,Kalimpong,"Ratiram Banshilal Petrol Pump, 10th mile, Kalimpong, Ph-no 9832047800"
840,Kalimpong,"Hotel Priyanka, Gayel Kholan, NH-10, Kalimpong, Ph-no 8116592937"
841,Kalimpong,"Mani Garage, Rely road, Kalimpong, Ph-no 7679350707 (Tika ram)"
842,Kalimpong,"Tashi Service Station, 8th mile, Kalimpong, Ph-no 9434106749"
843,Kalimpong,"Hotel Maha Magg, Lohapul, NH-10, Kalimpong, Ph-no 9932343710"
844,Kalimpong,"Mukul Garage, Testa Bazar, NH-10, Kalimpong, Ph-no 9800487893"
845,Kalimpong,"Biswa Kiran Fuel Pump, 6th mile, Kalimpong, Ph-no 7029027467"
846,Kalimpong,"Hotel Rajendra Gurung, Tarkhola, NH-10, Kalimpong, Ph-no 7318723799"
847,Kalimpong,"Yogesh Fitter, 4th mile, Kalimpong, Ph-no 6294384586"
848,Kalimpong,"Suntali Fuel Pump, Lohapul, NH-10, Kalimpong, Ph-no 9933922837"
849,Kalimpong,"Shayog Dhaba, Garubathan, Kalimpong, Ph-no 7719267214"
850,Bankura,"M/S Santima Filling Station, Bhedua Mob-9475167241; M/S Jit Filling Station, Sankarhati Mob-9800111779; M/S Standard Automobiles, Gobinda Nagar Mob-9732012797; M/S Balabux Kanahaiyalal Petrol Pump, Bankura Mob-9434013665; Rambhagat Hariogopal Bima More Mob-9748666555; Rambhagat Rani Prasad, Machantala; Lalji Raja & Sons, Dhaldanga Mob-9732524442"
851,Bankura,"Joy Maa Kali Hindu Hotel, Belbani Chaurasta Bankura Mob-9732703370; Hindusthan Hotel & Restaurant, Pranbandhu, Bankura Mob-7860464950; Rajupr Hotel & Dhaba, Kadamaghati, Bankura; Ghosh Hotel, Makurgram Mob-9806700000; Shyama Hotel & Dhaba, Machantala; Hotel United & Family Restaurant, Kamala, Near Phaldanga"
852,Bankura,"Tyre Repairing Makurgram, Bankura 629407554"
853,Bankura,"Saltora Station, Saltora Mob-9800994144; Jyoti Filling Station, Saltora Mob-9434588655; Maa Shakti Fuel Station, Saltora Mob-9547862680"
854,Bankura,Krishna Pal Hindu Hotel Palbra Ph-7001777791; Kartik Hotel Saltora Ph-9732023474
855,Bankura,Loknathbaba Fuel Centre; Sevak Fuel Centre Mob-9933903262
856,Bankura,"Laxmishree Hotel, Kanchanpur, G. Ghat Bankura Road 743088650"
857,Bankura,"Hirrigar Service, Belatore Mob-9434016179; Bagari Service Station Raharboni Barjora Durgapur Road Mob-9733409114"
858,Bankura,Tripti Hotel Mob-9732289108 / 9434243396
859,Bankura,"Panagarh Engineering Works, Barjora Mob-8927447407"
860,Bankura,"Mataji Fuel Centre, Barabarkacha Mob-9474631999; M/S Durga Oil Filling Station Mob-03242-270012; Maa Basuli Service Station Ghoramuli Mob-9046967195"
861,Bankura,"Maa Tara Hindu Hotel, Bhedra More NH60 Mob-8509659630; Tara Maa Dhaba, Saluni petrol pump Bankura–Saltora road; Basudeb Hotel Barbra near Mataji Fuel centre Bankura–Chhatna Pitch"
862,Bankura,"Attach Garage with Hotel; Goutam Daria Garage Saluni petrol pump; Sahidul Ansary, Upardihi More near Kalampur petrol pump; Tyre garage Barabarkar near Mataji Fuel centre; Netaji Fuel center Bankura–Chhatna"
863,Bankura,"Mallibhum Service Centre, Khamarbera Mob-9434227056; Tanisha Filling Station Kaliseni Mob-9434000484"
864,Bankura,Pathil Bandhu Hotel Mob-8617033505 / 9434626341; Hotel Maa Chandi Bhadulsole Mob-8001207460; Hotel Himalaya & Restaurant Bhadulsole near Kaliseni
865,Bankura,Susanta Karmakar 9732873994
866,Bankura,Samaswati Auto Centre Meja Mob-9474671115; Maa Tara Fuel Centre Tewary danga Mob-943246448
867,Bankura,Swapan Kr Chowdhury 9732219531
868,Bankura,Nil
869,Bankura,Anjali Fueling Station Kankrasele Mob-9474188373; Sony Service Station Chhatna Mob-9732188709
870,Bankura,Souvik Hotel (03242-259932) Raipur
871,Bankura,Pintu Garage (8670875109) Raipur
872,Bankura,Madhuri Filling Station Uttar Kamalpur Indpur Mob-9475687243; Sunxprabha Filling Station Mob-7872775412
873,Bankura,Piya Hindu Hotel Ph-8170039335 Gobindpur; Dayamayi Hindu Hotel Gobindpur Ph-9970969651; Maa Khatyani Kali Hindu Hotel NH60 Chhagram Mob-8116462116
874,Bankura,Garage Bhola at Bangla Mob-9732056837; Gurupada Garage Mob-9800536768
875,Bankura,Mandal Fuel Station Sarenga Mob-9933700455; Maa Annapurna Filling Station Mob-9434028716
876,Bankura,Swapnil Hotel Bishnupur bypass 8759073995; Pintu Line Hotel Bakadoba 8436109223; Mahanta hotel on NH60 6295588483; Mansa Hotel on SH-02 875791663; Maa Tara Hotel on NH60 9564834265
877,Bankura,Gour Karmakar at Sonamukhi Bypass; Nandi garage at untabri bypass 977520894
878,Bankura,Simlapal Filling Station Mob-9474188928 / 9434586506
879,Bankura,Dudhapukur Maa Tara Hotel
880,Bankura,Mallik Engineering Bishnupur Bypass Mob-9434160301; Joydeb Karmakar Pranab Hazra (9800516770)
881,Bankura,Unique Fuel Shidbanga More Mob-9749495906; Utsab Filling Station Panchmura Mob-700124893; Maa Vaishno Devi Fuel Taldanga Mob-9967583204
882,Bankura,Mato Maa Hindu Hotel 9732191024
883,Bankura,Dharmaraj Auto Centre 9732120994
884,Bankura,Soren Filling Station Khatra Mob-9434526091; Aditya Filling Station Khatra Mob-9641900132; Rambhagat Hariprasad Khatra Mob-8697738928
885,Bankura,Tara Maa Hindu Hotel Shas More 629485205
886,Bankura,Majumder Auto Mobiles Netaji More 9474018824
887,Bankura,Nigamananda Automobile Mob-7407609669; Jalan Petrol Pump Bishnupur Mob-9434003058; Rita Filling Station Bishnupur Mob-9474189852; Maa Saradamoni Filling Station Bamunri More Mob-9434110605
888,Bankura,Raghu Paramanik Mob-9002997273 / 6294111281
889,Bankura,Pir Baba Garage Mob-9547833346
890,Bankura,M/S Sita Filling Station
891,Bankura,Damodar Filling Centre Kankradanga Mob-9475982911; Hamida Fueling Centre Dukibandha Mob-9434392005
892,Bankura,M/S Baba Loknath Service Station Mob-981596596
893,Bankura,Dwivedi Filling Station Gopalganj Mob-9732673423; Nirupama Filling Station Khundanga Mob-9434204251; Panchanan Filling Station Sarsdi Mob-9434509966
894,Bankura,Nil
895,Bankura,Sarita Filling Station Sonamukhi Mob-933208690; Gita Filling Station Ratap P.S Sonamukhi Mob-9064793733 / 9434362394
896,Uttar Dinajpur,"LOKNATH FUEL, ITAHAR, 9434052728"
897,Uttar Dinajpur,"HOTEL HINDUSTHAN, BANGER NATIONAL PARKING, ITAHAR"
898,Uttar Dinajpur,"MATIUR RAHAMAN (7001915829 / 9679706646), AMRITA MOTOR WORKS CENTRE"
899,Uttar Dinajpur,"M/S K.C. MITRA, RAIGANJ, 8250182799"
900,Uttar Dinajpur,"HOTEL GANDHER, RAIGANJ (NAGAR), 8945950010"
901,Uttar Dinajpur,"AMAR GARAGE, NEAR EMBASSY HOTEL RAIGANJ, 9933547394"
902,Uttar Dinajpur,"M/S MS FUEL PETROL PUMP, PATHNOR (DOMONA), 8759557286"
903,Uttar Dinajpur,"DILIP AUTOMOBILES, PATHNOR (DOMONA), 9800900560"
904,Uttar Dinajpur,"M/S PANISHAL PETROLIUM, BARODUARI NH-34, 8918761506"
905,Uttar Dinajpur,"M/S PANISHAL PETROLIUM, BARODUARI NH-34, 8918761506"
906,Uttar Dinajpur,"BANGALI DHABA, SRI KRISHNAPUR, ISLAMPUR, 8250861363"
907,Uttar Dinajpur,"SIHOTIA SERVICE STATION, ISLAMPUR, 3526255058"
908,Uttar Dinajpur,"BIHARI DHABA, ALIGANJ ISLAMPUR, 7602627680"
909,Uttar Dinajpur,"MAA BASANTI SERVICE CENTRE, ISLAMPUR, 9434055098 / 9434045901"
910,Uttar Dinajpur,"DINESH HOTEL, DHANTOLA, ISLAMPUR, 8972029245"
911,Uttar Dinajpur,"BABA RAMDEV, ALIGANJ, ISLAMPUR, 9832430434"
912,Uttar Dinajpur,"MAHDI HOTEL, KALIBARI, PANJIPARA, 9002540963"
913,Uttar Dinajpur,"MAA DURGA PUMP, DHANTOLA, ISLAMPUR, 8759404573"
914,Uttar Dinajpur,"RAM SINGH DHABA, KALIBARI, PANJIPARA, 9932677536"
915,Uttar Dinajpur,"MADHU HOTEL, COLLEGE MORE, ISLAMPUR, 9933668802"
